,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Non-Motorist,22,16,9,8,1.375,1.125,1.222,0.720
1,"(15, 24]","(0, 5]",Not Deployed,4,3,3,1,1.333,3.000,0.444,0.616
2,"(15, 24]","(0, 5]",Unknown,36,30,37,28,1.200,1.321,0.908,0.323
3,"(15, 24]","(5, 10]",Non-Motorist,3,1,5,6,3.000,0.833,3.600,4.697
4,"(15, 24]","(5, 10]",Non-Motorist,3,3,3,2,1.000,1.500,0.667,0.817
5,"(15, 24]","(5, 10]",Unknown,19,17,12,7,1.118,1.714,0.652,0.380
6,"(15, 24]","(5, 10]",Unknown,8,4,6,5,2.000,1.200,1.667,1.438
7,"(15, 24]","(10, 15]",Deployed,4,3,1,1,1.333,1.000,1.333,2.144
8,"(15, 24]","(10, 15]",Deployed,1,2,7,12,0.500,0.583,0.857,1.127
9,"(15, 24]","(10, 15]",Non-Motorist,30,41,11,12,0.732,0.917,0.798,0.387
10,"(15, 24]","(10, 15]",Non-Motorist,22,15,43,49,1.467,0.878,1.671,0.665
11,"(15, 24]","(10, 15]",Not Deployed,8,12,1,1,0.667,1.000,0.667,0.991
12,"(15, 24]","(10, 15]",Not Deployed,4,3,10,11,1.333,0.909,1.467,1.293
13,"(15, 24]","(10, 15]",Unknown,104,90,34,40,1.156,0.850,1.359,0.379
14,"(15, 24]","(10, 15]",Unknown,74,79,125,105,0.937,1.190,0.787,0.169
15,"(15, 24]","(15, 20]",Deployed,13,9,8,11,1.444,0.727,1.986,1.266
16,"(15, 24]","(15, 20]",Deployed,23,17,25,27,1.353,0.926,1.461,0.623
17,"(15, 24]","(15, 20]",Non-Motorist,112,102,31,45,1.098,0.689,1.594,0.439
18,"(15, 24]","(15, 20]",Non-Motorist,126,101,273,271,1.248,1.007,1.238,0.206
19,"(15, 24]","(15, 20]",Not Deployed,34,20,7,12,1.700,0.583,2.914,1.618
20,"(15, 24]","(15, 20]",Not Deployed,28,22,37,39,1.273,0.949,1.342,0.495
21,"(15, 24]","(15, 20]",Unknown,300,303,117,155,0.990,0.755,1.312,0.204
22,"(15, 24]","(15, 20]",Unknown,365,286,585,602,1.276,0.972,1.313,0.145
23,"(15, 24]","(20, 25]",Deployed,6,4,7,7,1.500,1.000,1.500,1.259
24,"(15, 24]","(20, 25]",Deployed,7,8,17,18,0.875,0.944,0.926,0.575
25,"(15, 24]","(20, 25]",Non-Motorist,43,45,33,36,0.956,0.917,1.042,0.339
26,"(15, 24]","(20, 25]",Non-Motorist,81,71,138,131,1.141,1.053,1.083,0.227
27,"(15, 24]","(20, 25]",Not Deployed,12,11,5,12,1.091,0.417,2.618,1.776
28,"(15, 24]","(20, 25]",Not Deployed,10,8,23,23,1.250,1.000,1.250,0.701
29,"(15, 24]","(20, 25]",Unknown,115,109,89,117,1.055,0.761,1.387,0.278
30,"(15, 24]","(20, 25]",Unknown,141,112,271,305,1.259,0.889,1.417,0.226
31,"(15, 24]","(25, 30]",Deployed,1,1,6,6,1.000,1.000,1.000,1.528
32,"(15, 24]","(25, 30]",Non-Motorist,7,9,5,9,0.778,0.556,1.400,1.055
33,"(15, 24]","(25, 30]",Non-Motorist,16,7,28,23,2.286,1.217,1.878,1.006
34,"(15, 24]","(25, 30]",Not Deployed,1,3,1,5,0.333,0.200,1.667,2.654
35,"(15, 24]","(25, 30]",Unknown,26,13,27,28,2.000,0.964,2.074,0.906
36,"(15, 24]","(25, 30]",Unknown,34,23,73,58,1.478,1.259,1.175,0.383
37,"(15, 24]","(30, 35]",Non-Motorist,5,6,3,4,0.833,0.750,1.111,1.084
38,"(15, 24]","(30, 35]",Non-Motorist,4,2,9,3,2.000,3.000,0.667,0.729
39,"(15, 24]","(30, 35]",Unknown,11,9,14,14,1.222,1.000,1.222,0.720
40,"(15, 24]","(30, 35]",Unknown,11,8,24,24,1.375,1.000,1.375,0.755
41,"(15, 24]","(35, 40]",Deployed,1,1,2,1,1.000,2.000,0.500,0.936
42,"(15, 24]","(35, 40]",Non-Motorist,7,2,5,3,3.500,1.667,2.100,2.280
43,"(15, 24]","(35, 40]",Not Deployed,2,2,1,3,1.000,0.333,3.000,4.585
44,"(15, 24]","(35, 40]",Unknown,25,16,8,6,1.562,1.333,1.172,0.738
45,"(15, 24]","(35, 40]",Unknown,8,6,12,15,1.333,0.800,1.667,1.111
46,"(15, 24]","(40, 45]",Non-Motorist,12,4,4,2,3.000,2.000,1.500,1.563
47,"(15, 24]","(40, 45]",Non-Motorist,10,4,6,3,2.500,2.000,1.250,1.154
48,"(15, 24]","(40, 45]",Unknown,24,16,6,5,1.500,1.200,1.250,0.860
49,"(15, 24]","(40, 45]",Unknown,26,10,12,14,2.600,0.857,3.033,1.650
50,"(15, 24]","(45, 50]",Non-Motorist,8,5,6,2,1.600,3.000,0.533,0.532
51,"(15, 24]","(45, 50]",Non-Motorist,3,2,2,2,1.500,1.000,1.500,2.032
52,"(15, 24]","(45, 50]",Unknown,34,13,6,3,2.615,2.000,1.308,1.020
53,"(15, 24]","(45, 50]",Unknown,20,7,12,5,2.857,2.400,1.190,0.824
54,"(15, 24]","(50, 55]",Non-Motorist,6,5,2,1,1.200,2.000,0.600,0.820
55,"(15, 24]","(50, 55]",Non-Motorist,5,1,6,1,5.000,6.000,0.833,1.283
56,"(15, 24]","(50, 55]",Unknown,8,5,5,2,1.600,2.500,0.640,0.649
57,"(15, 24]","(55, 60]",Unknown,16,1,2,1,16.000,2.000,8.000,12.812
58,"(15, 24]","(60, 65]",Non-Motorist,3,1,2,1,3.000,2.000,1.500,2.526
59,"(15, 24]","(60, 65]",Unknown,14,1,2,1,14.000,2.000,7.000,11.230
60,"(15, 24]","(60, 65]",Unknown,8,2,4,2,4.000,2.000,2.000,2.347
61,"(15, 24]","(65, 70]",Unknown,7,2,6,2,3.500,3.000,1.167,1.336
62,"(15, 24]","(80, 85]",Unknown,3,1,2,1,3.000,2.000,1.500,2.526
63,"(15, 24]","(85, 90]",Unknown,2,1,2,1,2.000,2.000,1.000,1.733
