,Control Age,Subject Age,Control Sex,A,B,C,D,r1,r2,R,DeltaR
0,"(15, 24]","(0, 5]",Non-Motorist,157,115,182,129,1.365,1.411,0.968,0.170
1,"(15, 24]","(0, 5]",Non-Motorist,61,42,90,43,1.452,2.093,0.694,0.193
2,"(15, 24]","(0, 5]",Not Deployed,3,2,1,4,1.500,0.250,6.000,8.665
3,"(15, 24]","(0, 5]",Unknown,61,44,50,57,1.386,0.877,1.580,0.445
4,"(15, 24]","(0, 5]",Unknown,20,10,29,10,2.000,2.900,0.690,0.369
5,"(15, 24]","(5, 10]",Non-Motorist,36,50,42,28,0.720,1.500,0.480,0.159
6,"(15, 24]","(5, 10]",Non-Motorist,21,13,46,32,1.615,1.438,1.124,0.477
7,"(15, 24]","(5, 10]",Unknown,23,15,13,10,1.533,1.300,1.179,0.635
8,"(15, 24]","(5, 10]",Unknown,13,5,12,9,2.600,1.333,1.950,1.342
9,"(15, 24]","(10, 15]",Deployed,3,6,3,10,0.500,0.300,1.667,1.612
10,"(15, 24]","(10, 15]",Non-Motorist,329,363,145,154,0.906,0.942,0.963,0.142
11,"(15, 24]","(10, 15]",Non-Motorist,577,480,958,862,1.202,1.111,1.082,0.100
12,"(15, 24]","(10, 15]",Not Deployed,16,12,11,17,1.333,0.647,2.061,1.125
13,"(15, 24]","(10, 15]",Unknown,142,126,46,50,1.127,0.920,1.225,0.298
14,"(15, 24]","(10, 15]",Unknown,222,171,317,293,1.298,1.082,1.200,0.167
15,"(15, 24]","(15, 20]",Deployed,13,10,7,9,1.300,0.778,1.671,1.100
16,"(15, 24]","(15, 20]",Deployed,16,19,53,45,0.842,1.178,0.715,0.285
17,"(15, 24]","(15, 20]",Non-Motorist,1468,1533,552,774,0.958,0.713,1.343,0.112
18,"(15, 24]","(15, 20]",Non-Motorist,3067,2643,7485,7815,1.160,0.958,1.212,0.071
19,"(15, 24]","(15, 20]",Not Deployed,25,24,18,21,1.042,0.857,1.215,0.526
20,"(15, 24]","(15, 20]",Not Deployed,56,42,122,131,1.333,0.931,1.432,0.351
21,"(15, 24]","(15, 20]",Unknown,459,491,207,297,0.935,0.697,1.341,0.164
22,"(15, 24]","(15, 20]",Unknown,1005,793,2203,2272,1.267,0.970,1.307,0.098
23,"(15, 24]","(15, 20]",nan,5,6,7,10,0.833,0.700,1.190,0.931
24,"(15, 24]","(20, 25]",Deployed,3,2,5,11,1.500,0.455,3.300,3.503
25,"(15, 24]","(20, 25]",Deployed,7,6,37,32,1.167,1.156,1.009,0.614
26,"(15, 24]","(20, 25]",Non-Motorist,506,530,458,647,0.955,0.708,1.349,0.135
27,"(15, 24]","(20, 25]",Non-Motorist,1229,994,3727,3686,1.236,1.011,1.223,0.085
28,"(15, 24]","(20, 25]",Not Deployed,7,5,5,14,1.400,0.357,3.920,3.079
29,"(15, 24]","(20, 25]",Not Deployed,12,11,63,70,1.091,0.900,1.212,0.551
30,"(15, 24]","(20, 25]",Unknown,157,154,194,246,1.019,0.789,1.293,0.203
31,"(15, 24]","(20, 25]",Unknown,361,282,1197,1200,1.280,0.998,1.283,0.131
32,"(15, 24]","(20, 25]",nan,4,1,5,8,4.000,0.625,6.400,8.038
33,"(15, 24]","(25, 30]",Deployed,1,1,2,6,1.000,0.333,3.000,4.901
34,"(15, 24]","(25, 30]",Non-Motorist,129,125,210,233,1.032,0.901,1.145,0.189
35,"(15, 24]","(25, 30]",Non-Motorist,269,190,883,831,1.416,1.063,1.332,0.157
36,"(15, 24]","(25, 30]",Not Deployed,2,1,8,4,2.000,2.000,1.000,1.370
37,"(15, 24]","(25, 30]",Not Deployed,4,3,15,21,1.333,0.714,1.867,1.562
38,"(15, 24]","(25, 30]",Unknown,41,34,63,84,1.206,0.750,1.608,0.466
39,"(15, 24]","(25, 30]",Unknown,102,56,344,311,1.821,1.106,1.647,0.314
40,"(15, 24]","(30, 35]",Deployed,1,1,2,1,1.000,2.000,0.500,0.936
41,"(15, 24]","(30, 35]",Non-Motorist,61,45,67,85,1.356,0.788,1.720,0.448
42,"(15, 24]","(30, 35]",Non-Motorist,144,74,308,249,1.946,1.237,1.573,0.273
43,"(15, 24]","(30, 35]",Unknown,24,25,36,36,0.960,1.000,0.960,0.359
44,"(15, 24]","(30, 35]",Unknown,54,41,154,121,1.317,1.273,1.035,0.254
45,"(15, 24]","(35, 40]",Non-Motorist,66,40,45,35,1.650,1.286,1.283,0.392
46,"(15, 24]","(35, 40]",Non-Motorist,82,44,190,126,1.864,1.508,1.236,0.278
47,"(15, 24]","(35, 40]",Unknown,31,20,10,18,1.550,0.556,2.790,1.368
48,"(15, 24]","(35, 40]",Unknown,47,17,73,50,2.765,1.460,1.894,0.646
49,"(15, 24]","(40, 45]",Non-Motorist,84,51,42,29,1.647,1.448,1.137,0.346
50,"(15, 24]","(40, 45]",Non-Motorist,78,31,125,68,2.516,1.838,1.369,0.363
51,"(15, 24]","(40, 45]",Unknown,33,24,8,2,1.375,4.000,0.344,0.287
52,"(15, 24]","(40, 45]",Unknown,33,13,55,33,2.538,1.667,1.523,0.606
53,"(15, 24]","(45, 50]",Non-Motorist,89,42,27,12,2.119,2.250,0.942,0.374
